date,pred_stage,pred_discharge
2021-01-06,29.587055,793.5975
2021-01-07,29.379185,743.8512
2021-01-08,29.16364,710.0984
2021-01-09,28.872053,702.8956
2021-01-10,28.464354,647.79596
2021-01-11,28.400557,624.79407
2021-01-12,28.538374,618.2486
2021-01-13,28.83108,694.13116
2021-01-14,28.797169,564.6356
2021-01-15,28.919846,658.7518
2021-01-16,29.018951,608.1065
2021-01-17,29.288723,724.0921
2021-01-18,29.201824,737.1227
2021-01-19,29.35152,758.801
2021-01-20,29.252914,693.34235
2021-01-21,29.30768,716.6349
2021-01-22,29.43449,705.719
2021-01-23,29.45866,747.3932
2021-01-24,29.56772,801.0501
2021-01-25,29.655357,739.0779
2021-01-26,29.693764,795.8831
2021-01-27,29.918959,839.5297
2021-01-28,29.720144,705.43945
2021-01-29,29.835835,725.78503
2021-01-30,29.696934,667.81445
2021-01-31,29.94555,841.1064
2021-02-01,29.646193,803.5292
2021-02-02,29.774426,811.0945
2021-02-03,30.041246,845.3821
2021-02-04,30.012478,872.28253
2021-02-05,29.608583,725.08545
2021-02-06,29.850054,767.30914
2021-02-07,30.13213,891.75964
2021-02-08,29.884026,782.8085
2021-02-09,30.132946,858.5324
2021-02-10,30.05998,834.9873
2021-02-11,30.09249,795.7401
2021-02-12,30.20922,896.7197
2021-02-13,30.091534,878.41846
2021-02-14,29.910059,812.15796
2021-02-15,30.2251,947.04584
2021-02-16,30.228977,922.5665
2021-02-17,30.311676,937.647
2021-02-18,30.347351,982.9324
2021-02-19,30.280617,901.97015
2021-02-20,30.366774,895.2766
2021-02-21,30.07499,920.69147
2021-02-22,30.111265,903.17303
2021-02-23,30.236948,891.1935
2021-02-24,30.212248,900.9356
2021-02-25,30.112062,884.9929
2021-02-26,30.32943,980.6052
2021-02-27,30.202642,926.2292
2021-02-28,30.237886,889.71924
2021-03-01,30.345259,917.46844
2021-03-02,30.215382,784.8007
2021-03-03,30.028734,717.77075
2021-03-04,29.868195,732.3275
2021-03-05,29.934391,843.74506
2021-03-06,29.919212,784.878
2021-03-07,29.910505,753.4996
2021-03-08,30.10474,857.76556
2021-03-09,29.994444,744.94836
2021-03-10,30.188467,866.11035
2021-03-11,30.026102,797.6358
2021-03-12,29.756247,699.7062
2021-03-13,29.800209,790.393
2021-03-14,29.848612,784.7885
2021-03-15,29.80664,739.6704
2021-03-16,29.86855,804.1347
2021-03-17,29.9884,842.27203
2021-03-18,29.838358,741.72003
2021-03-19,29.838903,771.4209
2021-03-20,29.486069,713.8417
2021-03-21,29.608192,770.7378
2021-03-22,29.433443,714.1261
2021-03-23,29.309578,625.9365
2021-03-24,29.356163,581.75977
2021-03-25,29.466972,669.3714
2021-03-26,29.056665,619.8323
2021-03-27,28.952885,608.4429
2021-03-28,29.076418,623.8931
2021-03-29,29.383383,712.80493
2021-03-30,29.379442,699.7023
2021-03-31,29.34763,676.7648
2021-04-01,29.226772,656.4159
2021-04-02,30.927017,724.2686
2021-04-03,31.102482,753.38324
2021-04-04,31.298882,815.8631
2021-04-05,31.177889,773.5526
2021-04-06,30.581852,554.3995
2021-04-07,30.595856,554.7463
2021-04-08,31.036993,745.1275
2021-04-09,31.313726,868.6581
2021-04-10,31.149471,776.13513
2021-04-11,30.93911,673.7628
2021-04-12,30.828346,594.55597
2021-04-13,30.779276,568.1007
2021-04-14,30.813526,568.58795
2021-04-15,30.844255,582.2916
2021-04-16,30.856276,578.70807
2021-04-17,30.700024,527.16876
2021-04-18,30.65596,514.5386
2021-04-19,30.495895,446.57565
2021-04-20,30.331177,412.23813
2021-04-21,30.372967,459.23605
2021-04-22,30.79052,625.7778
2021-04-23,31.222218,792.6336
2021-04-24,31.526745,910.3892
2021-04-25,32.213352,1355.3585
2021-04-26,32.477417,1449.1107
2021-04-27,32.336544,1289.9194
2021-04-28,32.11064,1162.4501
2021-04-29,31.898037,1068.8264
2021-04-30,31.731007,994.43787
2021-05-01,31.561148,932.1654
2021-05-02,31.311539,818.8582
2021-05-03,31.09388,698.7277
2021-05-04,31.213179,756.96313
2021-05-05,31.40598,834.39026
2021-05-06,31.43637,821.74054
2021-05-07,31.39442,825.6287
2021-05-08,31.425377,863.77386
2021-05-09,31.467575,917.2941
2021-05-10,31.530582,997.91974
2021-05-11,31.607546,1054.3558
2021-05-12,31.685827,1095.5215
2021-05-13,31.752975,1105.9409
2021-05-14,32.091305,1220.7576
2021-05-15,32.466858,1428.7568
2021-05-16,32.9393,1729.1693
2021-05-17,33.348427,1896.4779
2021-05-18,33.540195,1965.0917
2021-05-19,33.73961,1924.7471
2021-05-20,33.717564,1773.8549
2021-05-21,33.783253,1658.2211
2021-05-22,33.855522,1535.9348
2021-05-23,34.029507,1512.0751
2021-05-24,34.335808,1670.3387
2021-05-25,34.391335,1701.2905
2021-05-26,34.278336,1548.5302
2021-05-27,34.062626,1479.8745
2021-05-28,33.826893,1435.8181
2021-05-29,33.571144,1321.1296
2021-05-30,33.1934,1154.4965
2021-05-31,32.84577,1026.8192
2021-06-01,32.627674,978.2555
2021-06-02,32.363155,847.3388
2021-06-03,32.54002,882.20776
2021-06-04,32.588745,1039.0287
2021-06-05,32.613056,1079.5858
2021-06-06,32.549767,1016.32184
2021-06-07,32.45897,924.12225
