date,pred_stage,pred_discharge
2021-06-16,30.301653,389.98508
2021-06-17,30.342138,428.0062
2021-06-18,30.602285,528.16864
2021-06-19,30.617498,517.9166
2021-06-20,30.638569,530.5583
2021-06-21,31.38291,857.6675
2021-06-22,32.151516,1262.0847
2021-06-23,33.15063,1927.5837
2021-06-24,32.726105,1792.5293
2021-06-25,31.992847,1153.7299
2021-06-26,31.538689,756.29596
2021-06-27,31.526218,872.3322
2021-06-28,31.421612,838.2516
2021-06-29,31.915474,1086.4548
2021-06-30,31.810974,1103.7734
2021-07-01,31.845058,1161.4612
2021-07-02,32.409683,1453.2832
2021-07-03,32.729393,1545.7463
2021-07-04,33.0445,1504.1235
2021-07-05,34.023766,1845.1096
2021-07-06,34.28608,1910.9019
2021-07-07,34.320362,1999.4276
2021-07-08,34.03831,1983.2567
2021-07-09,33.817707,1967.8147
2021-07-10,34.008636,2150.7764
2021-07-11,34.04902,2238.8
2021-07-12,33.893612,2103.2566
2021-07-13,33.92859,2139.3425
2021-07-14,34.13356,2301.2568
2021-07-15,34.07523,2323.791
2021-07-16,34.049957,2328.2795
2021-07-17,33.956894,2344.7742
2021-07-18,34.061947,2301.645
2021-07-19,34.007553,2297.655
2021-07-20,34.147655,2385.1765
2021-07-21,33.982357,2225.208
2021-07-22,34.136097,2274.3604
2021-07-23,34.00932,2199.77
2021-07-24,34.214138,2290.6191
2021-07-25,33.956398,2200.2334
2021-07-26,33.90545,2148.831
2021-07-27,33.84216,2135.3066
2021-07-28,33.632153,1886.966
2021-07-29,33.794117,2008.1069
2021-07-30,33.806656,2053.8206
2021-07-31,33.489986,1879.9443
2021-08-01,33.389885,1715.1337
2021-08-02,32.976727,1380.241
2021-08-03,32.759476,1276.4508
2021-08-04,33.02602,1537.5251
2021-08-05,33.36068,1777.5355
2021-08-06,32.37684,1244.7584
2021-08-07,31.301695,671.6322
2021-08-08,32.18596,1197.3428
2021-08-09,32.15047,1267.724
2021-08-10,32.241,1362.0911
2021-08-11,33.070656,1881.6774
2021-08-12,33.533165,2351.7258
2021-08-13,33.413662,2329.0251
2021-08-14,33.664223,2229.5715
2021-08-15,33.75683,2178.1206
2021-08-16,33.691235,2086.047
2021-08-17,33.62707,2018.7163
2021-08-18,33.428864,1904.7247
