date,pred_stage,pred_discharge
2021-01-05,28.455387,180.56107
2021-01-06,28.55734,195.82727
2021-01-07,28.655062,221.58665
2021-01-08,28.705091,253.52466
2021-01-09,29.104671,363.84744
2021-01-10,29.415937,470.2982
2021-01-11,29.465183,500.07025
2021-01-12,29.104603,359.27487
2021-01-13,28.996025,315.95544
2021-01-14,28.929987,298.96133
2021-01-15,28.880478,270.48996
2021-01-16,28.82779,255.12244
2021-01-17,28.732897,228.68643
2021-01-18,28.61241,197.23018
2021-01-19,28.697275,235.00528
2021-01-20,28.67866,234.10886
2021-01-21,28.693195,222.4708
2021-01-22,28.639797,221.46558
2021-01-23,28.675137,232.15012
2021-01-24,28.501064,165.87283
2021-01-25,28.558746,173.55458
2021-01-26,28.507593,194.60733
2021-01-27,28.410595,142.50581
2021-01-28,28.523394,157.9337
2021-01-29,28.503893,160.88866
2021-01-30,28.581545,189.07127
2021-01-31,28.538347,177.56201
2021-02-01,28.450375,162.83115
2021-02-02,28.560768,203.28732
2021-02-03,28.498638,152.37543
2021-02-04,28.423481,158.55765
2021-02-05,28.53821,185.12708
2021-02-06,28.449978,153.65302
2021-02-07,28.392918,155.43056
2021-02-08,28.424114,159.96948
2021-02-09,28.301321,140.66077
2021-02-10,28.48472,185.07707
2021-02-11,28.335997,134.88646
2021-02-12,28.247377,127.32677
2021-02-13,28.23356,124.51163
2021-02-14,28.33231,152.184
2021-02-15,28.285833,133.22343
2021-02-16,28.405926,166.53441
2021-02-17,28.177025,117.150276
2021-02-18,28.319477,136.615
2021-02-19,28.317614,156.28136
2021-02-20,28.272457,137.75719
2021-02-21,28.278358,162.1067
2021-02-22,28.252127,149.71017
2021-02-23,28.367754,170.05621
2021-02-24,28.271458,136.09618
2021-02-25,28.28597,147.47495
2021-02-26,28.246078,128.77924
2021-02-27,28.34715,160.27234
2021-02-28,28.286037,149.07848
2021-03-01,28.332436,152.61026
2021-03-02,28.386028,148.54799
2021-03-03,28.44656,157.6204
2021-03-04,28.611921,196.77133
2021-03-05,28.59902,179.96825
2021-03-06,28.455332,148.12126
2021-03-07,28.58057,177.56485
2021-03-08,28.522736,167.297
2021-03-09,28.3484,135.2776
2021-03-10,28.403395,145.93405
2021-03-11,28.487247,160.16925
2021-03-12,28.403776,148.10472
2021-03-13,28.458046,151.28525
2021-03-14,28.567385,202.56532
2021-03-15,28.555717,196.70709
2021-03-16,28.530523,180.21834
2021-03-17,28.530846,167.84007
2021-03-18,28.60701,192.74826
2021-03-19,28.73845,217.04044
2021-03-20,28.766733,223.74518
2021-03-21,28.853624,225.66327
2021-03-22,28.892935,217.87987
2021-03-23,28.87611,220.8555
2021-03-24,28.907072,237.59326
