date,pred_stage,pred_discharge
2021-06-17,30.279673,437.80237
2021-06-18,30.513659,502.18158
2021-06-19,30.489677,560.00507
2021-06-20,30.576021,577.82245
2021-06-21,30.785065,770.624
2021-06-22,31.21075,1090.1324
2021-06-23,31.547535,1312.3514
2021-06-24,31.84928,1485.9867
2021-06-25,31.62667,1337.6172
2021-06-26,31.116587,1118.9209
2021-06-27,30.678398,951.218
2021-06-28,30.363016,843.1115
2021-06-29,30.560743,820.375
2021-06-30,30.978361,899.69995
2021-07-01,31.732077,1287.9679
2021-07-02,32.415268,1583.1987
2021-07-03,32.482834,1470.0702
2021-07-04,32.52833,1366.3613
2021-07-05,33.241158,1535.786
2021-07-06,33.90314,1834.8866
2021-07-07,33.937992,1969.2585
2021-07-08,33.7115,1941.326
2021-07-09,33.078403,1798.4575
2021-07-10,33.577816,2186.1885
2021-07-11,34.105064,2386.7156
2021-07-12,33.891033,2311.258
2021-07-13,34.174335,2433.896
2021-07-14,34.45825,2622.4185
2021-07-15,34.53032,2699.6414
2021-07-16,34.543213,2709.1533
2021-07-17,34.716434,2854.4229
2021-07-18,34.742527,2800.5066
2021-07-19,34.724598,2778.7317
2021-07-20,34.728706,2754.054
2021-07-21,34.694016,2699.0994
2021-07-22,34.304466,2552.5103
2021-07-23,34.885593,2907.4048
2021-07-24,34.578175,2666.4724
2021-07-25,34.65338,2747.581
2021-07-26,34.61626,2731.551
2021-07-27,34.300644,2389.149
2021-07-28,33.719795,2046.9259
2021-07-29,33.72279,2182.5767
2021-07-30,33.61792,2099.262
2021-07-31,33.144775,1885.9333
2021-08-01,32.922867,1828.117
2021-08-02,32.36651,1550.1356
2021-08-03,31.797256,1321.5442
2021-08-04,31.668198,1305.1251
2021-08-05,31.814796,1411.9381
2021-08-06,31.484638,1254.7461
2021-08-07,30.7875,997.7405
2021-08-08,30.794872,975.1685
2021-08-09,30.803751,1008.07416
2021-08-10,31.08131,1114.2408
2021-08-11,31.73944,1388.7544
2021-08-12,32.85599,1864.19
2021-08-13,33.528057,2206.9043
2021-08-14,33.417145,2098.0164
2021-08-15,33.60905,2091.2947
2021-08-16,33.558086,1924.1421
2021-08-17,32.956905,1788.983
2021-08-18,32.82556,1896.6415
